DBA,BORO,ZIPCODE,Latitude,Longitude
SPICY VILLAGE,Manhattan,10002,40.71853284,-73.99163429
T TIME BOBA LLC,Manhattan,10128,40.78633794,-73.95209443
JADE & CLOVER,Manhattan,10002,40.71959516,-73.99309881
HERO,Manhattan,10020,40.7580034,-73.97759514
PLJ HOSPITALITY LLC,Manhattan,10128,40.78277628,-73.94814662
EARTHBAR,Manhattan,10012,40.72729159,-73.9951834
12,Manhattan,10012,40.72594378,-73.99268324
LUCY'S,Manhattan,10009,40.72693086,-73.98290567
ZB 501 FIFTH AVE LLC,Manhattan,10017,40.75332138,-73.98054557
TOLOACHE,Manhattan,10019,40.76184453,-73.9850409
JGSTEAKS LLC,Manhattan,10001,40.7499798,-73.99508069
COCOTAZO,Manhattan,10029,40.79848794,-73.94381821
TEMPLE INTERNATIONAL INC,Manhattan,10002,40.71221733,-73.99520253
FUMO,Manhattan,10025,40.80258689,-73.96794677
FLAVOR'S HOUSE,Manhattan,10010,40.73943001,-73.9797774
NAI BROTHER SAUERKRAUT FISH,Manhattan,10025,40.8033223,-73.9673143
CHIPOTLE MEXICAN GRILL,Manhattan,10004,40.70253319,-74.01256178
SENTIR,Manhattan,10011,40.73964016,-73.99267812
GREENBERGS BAGELS 3 LLC,Manhattan,10014,40.73012425,-74.00305606
SANMIWAGO,Manhattan,10011,40.73860012,-73.99965719
99 FAVOR TASTE,Manhattan,10002,40.71772319,-73.99249296
PASTA LAB,Manhattan,10002,40.72239166,-73.98803695
SOHO SUSHI,Manhattan,10012,40.72962749,-73.99971135
ANDIAMO PIZZA,Manhattan,10011,40.73371993,-73.99946236
UNO CHICAGO GRILL,Manhattan,10024,40.78305418,-73.97468345
GYU-KAKU JAPANESE BBQ,Manhattan,10003,40.7281477,-73.99093313
ESSEN,Manhattan,10018,40.75337768,-73.99260442
WENDY'S,Manhattan,10010,40.74195658,-73.99058119
65 MARKET PLACE,Manhattan,10006,40.70710602,-74.01223442
MARGON RESTAURANT CORP,Manhattan,10036,40.75785617,-73.98339943
ADOBO MEXICAN GRILL,Manhattan,10018,40.75226286,-73.98745408
HAKU GROUP LLC,Manhattan,10011,40.74098525,-73.99591858
"RAISING CANE'S RESTAURANTS, L.L.C.",Manhattan,10027,40.80819191,-73.94651202
EQUIS PICA POLLO,Manhattan,10033,40.85284613,-73.93113485
ARITZIA,Manhattan,10020,40.75781678,-73.97773237
HIMALAYAN CURRY HOUSE,Manhattan,10025,40.80266072,-73.96698232
PASTITALIA,Manhattan,10027,40.80671237,-73.94624229
MAREZZATA,Manhattan,10022,40.75547922,-73.9699403
BLACKSTONE CLUB,Manhattan,10001,40.74607661,-73.99251501
BFNYC ENTERPRISES INC,Manhattan,10014,40.73594304,-74.00595027
BRONX BREWERY,Manhattan,10003,40.72592707,-73.98960213
INTERNATIONAL WINGS FACTORY,Manhattan,10128,40.78029443,-73.9468631
EL TABLON LATINO CORP,Manhattan,10033,40.84814263,-73.93278073
